Localidad,2020-03-06 00:00:00,2020-03-07 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,2020-03-25 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-03-28 00:00:00,2020-03-29 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-12 00:00:00,2020-04-13 00:00:00,2020-04-14 00:00:00,2020-04-15 00:00:00,2020-04-16 00:00:00,2020-04-17 00:00:00,2020-04-18 00:00:00,2020-04-19 00:00:00,2020-04-20 00:00:00,2020-04-21 00:00:00,2020-04-22 00:00:00,2020-04-23 00:00:00,2020-04-24 00:00:00,2020-04-25 00:00:00,2020-04-26 00:00:00,2020-04-27 00:00:00,2020-04-28 00:00:00,2020-04-29 00:00:00,2020-04-30 00:00:00,2020-05-01 00:00:00,2020-05-02 00:00:00,2020-05-03 00:00:00,2020-05-04 00:00:00,2020-05-05 00:00:00,2020-05-06 00:00:00,2020-05-07 00:00:00,2020-05-08 00:00:00,2020-05-09 00:00:00,2020-05-10 00:00:00,2020-05-11 00:00:00,2020-05-12 00:00:00,2020-05-13 00:00:00,2020-05-14 00:00:00,2020-05-15 00:00:00,2020-05-16 00:00:00,2020-05-17 00:00:00,2020-05-18 00:00:00,2020-05-19 00:00:00,2020-05-20 00:00:00,2020-05-21 00:00:00,2020-05-22 00:00:00,2020-05-23 00:00:00,2020-05-24 00:00:00,2020-05-25 00:00:00,2020-05-26 00:00:00,2020-05-27 00:00:00,2020-05-28 00:00:00,2020-05-29 00:00:00,2020-05-30 00:00:00,2020-05-31 00:00:00,2020-06-01 00:00:00,2020-06-02 00:00:00,2020-06-03 00:00:00,2020-06-04 00:00:00,2020-06-05 00:00:00,2020-06-06 00:00:00,2020-06-07 00:00:00,2020-06-08 00:00:00,2020-06-09 00:00:00,2020-06-10 00:00:00,2020-06-11 00:00:00,2020-06-12 00:00:00,2020-06-13 00:00:00,2020-06-14 00:00:00,2020-06-15 00:00:00,2020-06-16 00:00:00,2020-06-17 00:00:00,2020-06-18 00:00:00,2020-06-19 00:00:00,2020-06-20 00:00:00,2020-06-21 00:00:00,2020-06-22 00:00:00,2020-06-23 00:00:00,2020-06-24 00:00:00,2020-06-25 00:00:00,2020-06-26 00:00:00,2020-06-27 00:00:00,2020-06-28 00:00:00,2020-06-29 00:00:00,2020-06-30 00:00:00,2020-07-01 00:00:00,2020-07-02 00:00:00,2020-07-03 00:00:00,2020-07-04 00:00:00,2020-07-05 00:00:00
LOS MARTIRES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,5.0,8.0,8.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,15.0,15.0,16.0,17.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,21.0,22.0,23.0,32.0,32.0,32.0,34.0,35.0,36.0,37.0,43.0,49.0,50.0,54.0,56.0,62.0,65.0,72.0,74.0,76.0,80.0,84.0,91.0,99.0,104.0,112.0,116.0,116.0,121.0,125.0,142.0,270.0,293.0,302.0,322.0,332.0,356.0,363.0,372.0,379.0,390.0,403.0,411.0,429.0,435.0,443.0,449.0,454.0,459.0,462.0,485.0,506.0,522.0,538.0,572.0,581.0,591.0,605.0,701.0,713.0,736.0,764.0,775.0,778.0,805.0,846.0,865.0,872.0,872.0,872.0
PUENTE ARANDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,7.0,7.0,8.0,9.0,12.0,12.0,12.0,18.0,21.0,26.0,26.0,31.0,35.0,37.0,40.0,41.0,41.0,45.0,48.0,50.0,52.0,55.0,57.0,61.0,61.0,65.0,66.0,72.0,77.0,82.0,88.0,89.0,93.0,96.0,103.0,111.0,132.0,142.0,146.0,154.0,160.0,162.0,184.0,189.0,192.0,195.0,198.0,203.0,205.0,213.0,224.0,228.0,237.0,239.0,251.0,255.0,262.0,275.0,278.0,284.0,302.0,314.0,331.0,343.0,351.0,366.0,372.0,398.0,421.0,438.0,448.0,456.0,459.0,466.0,473.0,494.0,507.0,525.0,536.0,546.0,559.0,573.0,598.0,618.0,690.0,749.0,807.0,839.0,890.0,918.0,981.0,1002.0,1039.0,1068.0,1094.0,1124.0,1159.0,1200.0,1240.0,1266.0,1271.0,1271.0
RAFAEL URIBE URIBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,12.0,14.0,16.0,16.0,17.0,22.0,25.0,25.0,26.0,27.0,28.0,29.0,34.0,36.0,39.0,47.0,55.0,63.0,67.0,68.0,71.0,73.0,74.0,79.0,84.0,89.0,91.0,96.0,105.0,106.0,109.0,118.0,124.0,154.0,158.0,169.0,178.0,185.0,188.0,191.0,196.0,199.0,210.0,220.0,224.0,231.0,239.0,252.0,262.0,268.0,301.0,316.0,321.0,332.0,343.0,369.0,397.0,408.0,420.0,433.0,452.0,487.0,500.0,515.0,539.0,544.0,567.0,586.0,635.0,665.0,680.0,706.0,723.0,746.0,764.0,787.0,817.0,865.0,909.0,941.0,970.0,1025.0,1069.0,1150.0,1173.0,1215.0,1297.0,1340.0,1385.0,1472.0,1515.0,1670.0,1696.0,1705.0,1705.0
SAN CRISTOBAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,7.0,8.0,10.0,12.0,16.0,18.0,18.0,18.0,18.0,19.0,21.0,25.0,27.0,32.0,38.0,44.0,46.0,46.0,49.0,52.0,56.0,61.0,73.0,74.0,82.0,84.0,87.0,94.0,102.0,112.0,115.0,123.0,129.0,161.0,171.0,174.0,177.0,187.0,191.0,194.0,202.0,219.0,223.0,237.0,241.0,255.0,272.0,278.0,303.0,315.0,318.0,334.0,341.0,367.0,402.0,425.0,442.0,463.0,480.0,501.0,530.0,548.0,569.0,589.0,605.0,624.0,656.0,674.0,687.0,708.0,728.0,741.0,757.0,780.0,831.0,884.0,915.0,991.0,1038.0,1085.0,1127.0,1197.0,1225.0,1314.0,1365.0,1441.0,1488.0,1584.0,1679.0,1723.0,1780.0,1791.0,1791.0
SANTA FE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,12.0,13.0,14.0,14.0,15.0,15.0,17.0,17.0,17.0,18.0,18.0,21.0,21.0,21.0,23.0,23.0,23.0,24.0,27.0,34.0,34.0,38.0,41.0,41.0,45.0,47.0,49.0,51.0,54.0,57.0,61.0,73.0,76.0,84.0,94.0,99.0,109.0,115.0,116.0,131.0,141.0,152.0,157.0,167.0,175.0,193.0,205.0,221.0,233.0,249.0,261.0,265.0,278.0,283.0,296.0,306.0,310.0,315.0,325.0,334.0,342.0,365.0,373.0,388.0,402.0,440.0,467.0,492.0,527.0,551.0,566.0,585.0,613.0,639.0,654.0,710.0,734.0,848.0,862.0,865.0,865.0
SIN DATO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,11.0,12.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,16.0,17.0,17.0,18.0,18.0,21.0,24.0,24.0,30.0,30.0,31.0,38.0,40.0,42.0,49.0,51.0,52.0,54.0,59.0,67.0,73.0,79.0,89.0,95.0,101.0,114.0,126.0,142.0,151.0,155.0,181.0,248.0,266.0,352.0,429.0,446.0,474.0,506.0,557.0,656.0,735.0,859.0,1012.0,1054.0,1134.0,1288.0,1343.0,1515.0,1710.0,1728.0
SUBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,5.0,5.0,7.0,12.0,14.0,20.0,22.0,30.0,32.0,46.0,49.0,62.0,74.0,84.0,87.0,91.0,101.0,117.0,137.0,141.0,160.0,169.0,176.0,183.0,185.0,185.0,186.0,189.0,191.0,196.0,217.0,228.0,240.0,263.0,275.0,276.0,280.0,283.0,291.0,302.0,316.0,329.0,339.0,345.0,357.0,363.0,372.0,384.0,402.0,405.0,420.0,442.0,449.0,457.0,472.0,487.0,497.0,505.0,524.0,545.0,560.0,578.0,585.0,611.0,636.0,642.0,688.0,704.0,725.0,761.0,780.0,819.0,883.0,912.0,932.0,964.0,993.0,1029.0,1092.0,1141.0,1177.0,1203.0,1241.0,1268.0,1315.0,1368.0,1396.0,1437.0,1467.0,1521.0,1564.0,1612.0,1652.0,1728.0,1811.0,1922.0,1996.0,2113.0,2215.0,2417.0,2492.0,2625.0,2765.0,2913.0,3013.0,3180.0,3308.0,3468.0,3557.0,3588.0,3588.0
TEUSAQUILLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,12.0,15.0,20.0,21.0,26.0,28.0,32.0,34.0,35.0,42.0,51.0,51.0,52.0,59.0,59.0,63.0,65.0,66.0,67.0,69.0,79.0,82.0,85.0,87.0,89.0,90.0,94.0,96.0,98.0,99.0,101.0,101.0,103.0,104.0,105.0,107.0,109.0,114.0,115.0,115.0,115.0,115.0,116.0,116.0,121.0,122.0,127.0,130.0,133.0,136.0,136.0,138.0,140.0,141.0,144.0,145.0,151.0,158.0,160.0,167.0,169.0,171.0,179.0,187.0,191.0,199.0,210.0,218.0,234.0,240.0,246.0,254.0,265.0,268.0,272.0,281.0,290.0,295.0,299.0,303.0,312.0,320.0,326.0,335.0,345.0,355.0,369.0,390.0,412.0,427.0,441.0,458.0,494.0,505.0,520.0,545.0,570.0,579.0,609.0,634.0,660.0,673.0,675.0,675.0
TUNJUELITO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,12.0,17.0,17.0,19.0,22.0,24.0,25.0,26.0,26.0,29.0,31.0,31.0,35.0,37.0,39.0,42.0,44.0,49.0,49.0,50.0,50.0,50.0,53.0,56.0,59.0,61.0,61.0,66.0,66.0,68.0,70.0,74.0,80.0,81.0,90.0,92.0,94.0,97.0,108.0,111.0,113.0,115.0,121.0,125.0,125.0,127.0,132.0,136.0,138.0,143.0,150.0,152.0,161.0,165.0,173.0,185.0,198.0,202.0,211.0,213.0,218.0,236.0,244.0,248.0,253.0,261.0,272.0,286.0,295.0,303.0,309.0,319.0,326.0,340.0,359.0,373.0,393.0,408.0,432.0,450.0,523.0,538.0,579.0,595.0,620.0,642.0,735.0,770.0,803.0,846.0,867.0,878.0,884.0,884.0
USAQUEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,7.0,8.0,10.0,17.0,18.0,23.0,23.0,36.0,36.0,45.0,54.0,63.0,68.0,76.0,80.0,88.0,102.0,120.0,129.0,129.0,147.0,161.0,167.0,171.0,172.0,173.0,177.0,178.0,180.0,186.0,193.0,212.0,219.0,231.0,241.0,243.0,246.0,254.0,255.0,257.0,259.0,261.0,267.0,271.0,274.0,276.0,277.0,282.0,286.0,294.0,295.0,317.0,322.0,325.0,331.0,334.0,337.0,338.0,340.0,343.0,347.0,351.0,351.0,365.0,374.0,377.0,387.0,393.0,398.0,410.0,419.0,438.0,447.0,478.0,493.0,499.0,505.0,517.0,545.0,562.0,571.0,574.0,589.0,603.0,626.0,646.0,656.0,668.0,678.0,699.0,707.0,722.0,746.0,787.0,812.0,873.0,907.0,950.0,974.0,1034.0,1055.0,1104.0,1159.0,1202.0,1229.0,1273.0,1318.0,1358.0,1403.0,1412.0,1412.0
